epoch,step,train_loss,val_loss
0,49,0.2558002471923828,
0,99,0.38999566435813904,
0,149,0.2958976626396179,
0,199,0.315675288438797,
0,249,0.34959471225738525,
0,299,0.3369661271572113,
0,349,0.3132861256599426,
0,399,0.34996721148490906,
0,449,0.4060385823249817,
0,499,0.3774009943008423,
0,549,0.29090046882629395,
0,599,0.40150561928749084,
0,649,0.35575419664382935,
0,699,0.29662251472473145,
0,749,0.3257482647895813,
0,799,0.31570708751678467,
0,849,0.27796265482902527,
0,899,0.347608745098114,
0,949,0.3423556387424469,
0,999,0.3554903268814087,
0,1049,0.3141098618507385,
0,1099,0.41282734274864197,
0,1149,0.28030407428741455,
0,1199,0.270233154296875,
0,1249,0.2908496856689453,
0,1299,0.36093905568122864,
0,1349,0.30585190653800964,
0,1399,0.34211301803588867,
0,1449,0.18665219843387604,
0,1454,,0.31890198588371277
1,1499,0.2978731095790863,
1,1549,0.2666857838630676,
1,1599,0.33916574716567993,
1,1649,0.2666122317314148,
1,1699,0.2636369466781616,
1,1749,0.38218891620635986,
1,1799,0.31198203563690186,
1,1849,0.23431366682052612,
1,1899,0.26894962787628174,
1,1949,0.27262887358665466,
1,1999,0.3606101870536804,
1,2049,0.30661439895629883,
1,2099,0.42588144540786743,
1,2149,0.35496097803115845,
1,2199,0.41453829407691956,
1,2249,0.3277692198753357,
1,2299,0.39317718148231506,
1,2349,0.24893222749233246,
1,2399,0.33246153593063354,
1,2449,0.29806026816368103,
1,2499,0.399570107460022,
1,2549,0.28003063797950745,
1,2599,0.3375733196735382,
1,2649,0.43359312415122986,
1,2699,0.35385367274284363,
1,2749,0.3466411232948303,
1,2799,0.29660874605178833,
1,2849,0.23696690797805786,
1,2899,0.28353121876716614,
1,2909,,0.3182776868343353
2,2949,0.2527894973754883,
2,2999,0.3021790385246277,
2,3049,0.31450939178466797,
2,3099,0.3002762794494629,
2,3149,0.30472907423973083,
2,3199,0.29239386320114136,
2,3249,0.32911163568496704,
2,3299,0.280661940574646,
2,3349,0.3376099467277527,
2,3399,0.25960448384284973,
2,3449,0.2530864477157593,
2,3499,0.35531145334243774,
2,3549,0.45679014921188354,
2,3599,0.3024691343307495,
2,3649,0.25925928354263306,
2,3699,0.18822281062602997,
2,3749,0.3366011381149292,
2,3799,0.3024691641330719,
2,3849,0.3469729423522949,
2,3899,0.3858025074005127,
2,3949,0.3364197611808777,
2,3999,0.327160507440567,
2,4049,0.23765432834625244,
2,4099,0.37109577655792236,
2,4149,0.3055555820465088,
2,4199,0.26234567165374756,
2,4249,0.2716049551963806,
2,4299,0.32098767161369324,
2,4349,0.32098764181137085,
2,4364,,0.3201914131641388
3,4399,0.29320991039276123,
3,4449,0.37654322385787964,
3,4499,0.4166666865348816,
3,4549,0.3055555820465088,
3,4599,0.29629629850387573,
3,4649,0.32098767161369324,
3,4699,0.3415742814540863,
3,4749,0.188271626830101,
3,4799,0.2685185372829437,
3,4849,0.2716049551963806,
3,4899,0.26234567165374756,
3,4949,0.29320991039276123,
3,4999,0.23456791043281555,
3,5049,0.37625381350517273,
3,5099,0.33309274911880493,
3,5149,0.3611111342906952,
3,5199,0.26543211936950684,
3,5249,0.3611111342906952,
3,5299,0.26234567165374756,
3,5349,0.3672630786895752,
3,5399,0.3055555820465088,
3,5449,0.3093116283416748,
3,5499,0.38049113750457764,
3,5549,0.31790125370025635,
3,5599,0.29609405994415283,
3,5649,0.26543211936950684,
3,5699,0.37854504585266113,
3,5749,0.2839506268501282,
3,5799,0.29629629850387573,
3,5819,,0.32019782066345215
4,5849,0.34259259700775146,
4,5899,0.4166666865348816,
4,5949,0.2746913433074951,
4,5999,0.3302469253540039,
4,6049,0.34486299753189087,
4,6099,0.2716049551963806,
4,6149,0.23765432834625244,
4,6199,0.29320988059043884,
4,6249,0.37037038803100586,
4,6299,0.4400048851966858,
4,6349,0.29629629850387573,
4,6399,0.3212457299232483,
4,6449,0.29012346267700195,
4,6499,0.3086419701576233,
4,6549,0.3796296715736389,
4,6599,0.31750717759132385,
4,6649,0.26234567165374756,
4,6699,0.37654322385787964,
4,6749,0.3766862452030182,
4,6799,0.20987655222415924,
4,6849,0.283633291721344,
4,6899,0.31172841787338257,
4,6949,0.3858024775981903,
4,6999,0.24382716417312622,
4,7049,0.23765432834625244,
4,7099,0.40123456716537476,
4,7149,0.3240740895271301,
4,7199,0.2676641345024109,
4,7249,0.31056708097457886,
4,7274,,0.3202061057090759
